DATE,NETFI
1947-01-01,9.289
1948-01-01,2.417
1949-01-01,0.879
1950-01-01,-1.843
1951-01-01,0.877
1952-01-01,0.59
1953-01-01,-1.321
1954-01-01,0.17
1955-01-01,0.372
1956-01-01,2.682
1957-01-01,4.7175
1958-01-01,0.801
1959-01-01,-1.272
1960-01-01,3.1715
1961-01-01,4.21325
1962-01-01,3.799
1963-01-01,4.94675
1964-01-01,7.4675
1965-01-01,6.15775
1966-01-01,3.80875
1967-01-01,3.483
1968-01-01,1.5325
1969-01-01,1.60375
1970-01-01,3.7235
1971-01-01,0.3115
1972-01-01,-4.0415
1973-01-01,8.8615
1974-01-01,5.97025
1975-01-01,19.83875
1976-01-01,7.09425
1977-01-01,-10.914
1978-01-01,-12.6275
1979-01-01,-1.166
1980-01-01,8.51075
1981-01-01,3.37625
1982-01-01,-3.29975
1983-01-01,-35.0525
1984-01-01,-90.08
1985-01-01,-114.30375
1986-01-01,-142.67575
1987-01-01,-154.09575
1988-01-01,-115.724
1989-01-01,-92.351
1990-01-01,-74.896
1991-01-01,7.8825
1992-01-01,-45.57475
1993-01-01,-79.36925
1994-01-01,-115.5985
1995-01-01,-105.862
1996-01-01,-115.02375
1997-01-01,-130.095
1998-01-01,-205.336
1999-01-01,-276.6245
2000-01-01,-396.8685
2001-01-01,-391.41525
2002-01-01,-455.441
2003-01-01,-527.63475
2004-01-01,-637.767
2005-01-01,-751.1765
2006-01-01,-819.3065
2007-01-01,-740.86
2008-01-01,-704.233
2009-01-01,-383.10725
2010-01-01,-439.78575
2011-01-01,-460.33575
2012-01-01,-424.00275
2013-01-01,-351.18675
2014-01-01,-375.09875
2015-01-01,-423.075
2016-01-01,-401.3535
2017-01-01,-377.9955
2018-01-01,-441.15825
2019-01-01,-448.42075
2020-01-01,-569.7215
2021-01-01,-847.81675
2022-01-01,-985.825
2023-01-01,-831.22625
